证券名称,公司网站
浦发银行,www.spdb.com.cn
白云机场,www.baiyunport.com
东风汽车,www.dfac.com
中国国贸,www.cwtc.com
首创股份,www.capitalwater.cn
上海机场,www.shairport.com
包钢股份,www.baoganggf.com
华能国际,www.hpi.com.cn
皖通高速,www.anhui-expressway.net
华夏银行,www.hxb.com.cn
民生银行,www.cmbc.com.cn
日照港,www.rzpcl.com
上港集团,www.portshanghai.com.cn
宝钢股份,www.baosteel.com
中原高速,www.zygs.com
上海电力,www.shanghaipower.com
山东钢铁,www.sdsteel.cc
浙能电力,www.zzepc.com.cn
华能水电,www.hnlcj.cn
中远海能,energy.coscoshipping.com
华电国际,www.hdpi.com.cn
中国石化,www.sinopec.com
南方航空,www.csair.com
中信证券,www.citics.com
三一重工,www.sanyhi.com
福建高速,www.fjgs.com.cn
楚天高速,www.hbctgs.com
招商银行,www.cmbchina.com
歌华有线,www.bgctv.com.cn
四川路桥,www.scrbc.com.cn
保利地产,www.polycn.com
中国联通,www.chinaunicom-a.com
宁波联合,www.nug.com.cn
浙江广厦,www.gsgf.com
九鼎投资,www.jdcapital.com
黄山旅游,www.hstd.com
万东医疗,www.wandong.com.cn
中国医药,www.meheco.com
厦门象屿,www.xiangyu.cn
五矿发展,www.minlist.com.cn
古越龙山,www.shaoxingwine.com.cn
海信视像,visual.hisense.com
国投资本,www.sdiccapital.com
华润双鹤,www.dcpc.com
皖维高新,www.wwgf.com.cn
南京高科,www.600064.com
宇通客车,www.yutong.com
冠城大通,www.gcdt.net
葛洲坝,www.cggc.cn
浙江富润,www.furun.net
凤凰光学,www.phenixoptics.com.cn
中船科技,www.cssckj.com
上海梅林,www.shanghaimaling.com
新疆天业,www.xj-tianye.com
康欣新材,www.hbkangxin.com.cn
宋都股份,www.songdu.com
澄星股份,www.phosphatechina.com
人福医药,www.humanwell.com.cn
ST金花,www.ginwa.com.cn
东风科技,www.detc.com.cn
海泰发展,www.hitech-develop.com
*ST博信,www.toppers.com.cn
ST中葡,www.guoanwine.com
同仁堂,gf.tongrentang.com
*ST金钰,www.goldjade.cn
中视传媒,www.ctv-media.com.cn
特变电工,www.tbea.com
*ST济堂,www.cnready.com
ST明科,www.tomotech.com
易见股份,www.easy-visible.com
大名城,www.greattown.cn
湘财股份,www.hgk-group.com
云天化,www.yyth.com.cn
开创国际,www.skmic.sh.cn
广州发展,www.gdg.com.cn
林海股份,www.linhai.cn
